structure,qh-G(T)_SPC
00-lpdoh2,-1979.384551
01-rxt,-2540.532744
03-c1,-2540.513061
05-c2,-2540.569909
09-c3,-2364.656565
11-c4,-2364.617721
13-t1,-2540.533328
15-t2,-2540.547276
19-t3,-2364.647756
21-t4,-2364.643258
60-t3ob,-2155.269567
60-t3rh,-2540.550259
62-t3ob-rh,-2540.553667
64-t3ob-1h2o,-2231.646532
66-t4ob,-2231.647598
67-t3ob-2h2o,-2308.004864
69-t4ob-1h2o,-2308.011841
99-l2pd2oh4,-3958.769102
naphboh2,-561.150376
h2o,-76.368394
boh3,-252.272407
naphh-c,-385.286152
naphh-t,-385.286152
