I1,I2,P1,P2,Energy,Backwards,Flag,Ref_L,Ref_R
99-l2pd2oh4,,00-lpdoh2,00-lpdoh2,-3815.090318,True,diffusion-l2pd2oh4-lpdoh2,0.0,0.0
00-lpdoh2,naphboh2,01-rxt,,-2468.692154,True,diffusion-lpdoh2-rxt,2.1216098231296736,0.0
01-rxt,,03-c1,,-2468.664937,True,02-ts-rxt-c1,17.078927700662437,6.297058436769988
03-c1,,05-c2,,-2468.664126,True,04-ts-c1-c2,6.805968690043966,39.72386520063247
05-c2,h2o,09-c3,boh3,-2545.074854,True,07-ts-c2-c3,13.158875478032748,2.6123222992742825
09-c3,,11-c4,,-2292.759539,True,10-ts-c3-c4,29.537502509535063,11.699288240771825
11-c4,,naphh-c,00-lpdoh2,-2292.778183,True,diffusion-c4-pdt,0.0,33.338327915879496
01-rxt,,13-t1,,-2468.671227,True,12-ts-rxt-t1,13.131892566939667,11.370473231471056
13-t1,,15-t2,,-2468.673638,True,14-ts-t1-t2,9.857547681511278,22.110926864064886
15-t2,h2o,19-t3,boh3,-2545.028155,True,17-ts-t2-t3,30.81887703157005,31.618951720911447
19-t3,,21-t4,,-2292.773536,True,20-ts-t3-t4,20.456811663481293,21.087458771275106
21-t4,,naphh-t,00-lpdoh2,-2292.807141,True,diffusion-t4-pdt,0.0,15.166906070833633
15-t2,,60-t3rh,,-2468.673308,True,59-ts-t2-t3rh,22.318005019131178,23.7531193835336
60-t3rh,,62-t3ob-rh,,-2468.698348,True,61-ts-t3rh-t3ob,8.040279995394588,7.676324450238976
64-t3ob-1h2o,,66-t4ob,,-2159.757358,True,65-ts-t3ob-1h2o-t4ob,31.011522466716162,30.55908807357757
67-t3ob-2h2o,,69-t4ob-1h2o,,-2236.135105,True,68-ts-t3ob-2h2o-t4ob,19.102646032643467,23.32202031553162
62-t3ob-rh,,60-t3ob,naphh-t,-2468.710581,True,diffusion-59-60,0.0,4.21184416846977
60-t3ob,h2o,64-t3ob-1h2o,,-2159.799535,True,diffusion-60-61,0.0,4.545051744752393
64-t3ob-1h2o,h2o,67-t3ob-2h2o,,-2236.165547,True,diffusion-61-64,6.039779517297444,0.0
69-t4ob-1h2o,,66-t4ob,h2o,-2236.172271,True,diffusion-66-63,0.0,1.3679708412706966
66-t4ob,,00-lpdoh2,boh3,-2159.806057,True,diffusion-63-pdt,0.0,7.222007528923823
