microkinetic_name,microkinetic_type,ligand_name,exp_yield,exp_error,min_of_max_barrier,MK_TFIN,MK_TREP,MK_DT,comp_yield_1.0,c2_yield_1.0,comp_yield_5.0,c2_yield_5.0,comp_yield_3.5,c2_yield_3.5,barrier_tuning_to_parity
ester-3e-pcy3,ester,3e-pcy3,0.036,0.028,16.30834596,100.0,0.1,0.01,7.262328803278104e-07,0.09876342766904692,3.632642882476097e-06,0.09725621524090028,2.542715578921508e-06,0.09769903442973986,3.305191583
ester-3h-ptbu3,ester,3h-ptbu3,0.907,0.0186,14.02761524,1000.0,1.0,0.1,0.916474568749188,0.051229664424289556,0.9920090524142987,0.007990600160272603,0.9898865050769756,0.010113218937141028,-0.76956578
ester-3j-iprjohnphos,ester,3j-iprjohnphos,0.085,0.0431,12.80648163,100.0,0.1,0.01,0.005383986500427865,0.09999083242926145,0.02288100857154644,0.09998919224662263,0.016971748316801934,0.09998980447128016,0.536239374
ester-3m-cyjohnphos,ester,3m-cyjohnphos,0.106,0.0057,15.33099982,100.0,0.1,0.01,0.0006672743932879823,0.09995444112600492,0.0032681360869036037,0.09995104685233487,0.0023053819676026772,0.09995170655768648,1.27805118
ester-3t-tbujohnphos,ester,3t-tbujohnphos,0.7,0.0155,14.89200966,100000.0,100.0,10.0,0.15350959664359182,0.09940862921488808,0.7622675673035105,0.09940166745876833,0.5350347128069337,0.09940378880101575,0.09811504
ester-6cn3e-pcy3,ester,6cn3e-pcy3,0.036,0.028,15.92933019,100.0,0.1,0.01,1.1656681105308856e-06,0.09828387232312734,5.8312935965002175e-06,0.09620326309718702,4.081688347650425e-06,0.09681320451120963,3.011073484
ester-6cn3h-ptbu3,ester,6cn3h-ptbu3,0.907,0.0186,13.4672492,100.0,0.1,0.01,0.8743456793144098,0.009515675907122833,0.9975984587950698,0.0023995438897589315,0.9971371854002635,0.0028408379358858733,-1.163063662
ester-6cn3m-cyjohnphos,ester,6cn3m-cyjohnphos,0.106,0.0057,15.42700878,1.0,0.001,0.0001,9.179943250453336e-05,0.0991049853907899,0.00041793628635993906,0.09613296656404491,0.00030271154146502277,0.09718282273205382,1.227750838
ester-6cn3t-tbujohnphos,ester,6cn3t-tbujohnphos,0.7,0.0155,14.55037793,10000.0,10.0,1.0,0.19044365175669667,0.09900846661106395,0.8995195256567128,0.09378993438193477,0.66293683920288,0.09899695477187259,0.020159462
ester-6ome3e-pcy3,ester,6ome3e-pcy3,0.036,0.028,18.29064866,10000.0,10.0,1.0,3.343074437095118e-07,0.0970749024683059,1.6896394280464993e-06,0.09357110288641528,1.1792497452015494e-06,0.09459293428402256,3.416023858
